Question,Answer
The Earth revolves around the sun.,T
Pandas are native to Africa.,F
The Mona Lisa was painted by Vincent van Gogh.,F
Diamonds are made of carbon.,T
The Amazon rainforest is the largest desert in the world.,F
The Eiffel Tower is located in London.,F
The human body has 206 bones.,T
The Nile River is the longest river in the world.,T
Bats are the only mammals that can fly.,T
Mount Everest is the tallest mountain on Earth.,T
The first successful powered flight was in 1903.,T
The Great Wall of China is visible from the moon.,F
Antarctica is the largest continent on Earth.,F
Shakespeare wrote the play "Hamlet".,T
The largest ocean on Earth is the Atlantic Ocean.,F
Water boils at 100 degrees Celsius.,T
Giraffes have the same number of vertebrae as humans.,T
The Amazon rainforest is the largest rainforest in the world.,T
The first successful moon landing was in 1969.,T
The Earth is the only planet in our solar system with life.,F
